,composer,work,theatre,city,date
9110,Robert Hugill,When a Man knows ,Bridewell Theatre,London,2011-03-31
9111,Tobias Picker,Fantastic Mr Fox ,The Hawth,Crawley,2011-03-31
9112,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",The Hawth,Crawley,2011-04-01
9113,Giuseppe Verdi,La Traviata ,RNCM Concert Hall,Manchester,2011-04-02
9114,Wolfgang Amadeus Mozart,La Clemenza di Tito ,The Hawth,Crawley,2011-04-02
9115,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,Kingswood Hall,Blackheath,2011-04-02
9116,Samuel Barber,Vanessa Op 32,RNCM Concert Hall,Manchester,2011-04-02
9117,Giuseppe Verdi,La Traviata ,RNCM Concert Hall,Manchester,2011-04-03
9118,Giuseppe Verdi,Rigoletto ,LeFrak Concert Hall at Queens College,Flushing,2011-04-03
9119,Tobias Picker,Fantastic Mr Fox ,Everyman Theatre,Cheltenham,2011-04-05
9120,Gilbert & Sullivan,The Yeomen of the Guard (or The Merryman and his Maid) ,Redgrave Theatre,"Clifton, Bristol",2011-04-05
9121,Wolfgang Amadeus Mozart,La Clemenza di Tito ,Everyman Theatre,Cheltenham,2011-04-06
9122,Gilbert & Sullivan,The Yeomen of the Guard (or The Merryman and his Maid) ,Redgrave Theatre,"Clifton, Bristol",2011-04-06
9123,Gaetano Donizetti,"L'Elisir d'amore, 'Elixir of Love' ",The Carriageworks Theatre,Leeds,2011-04-06
9124,Thomas Seltz,Awesome X ,Reid Concert Hall,Edinburgh,2011-04-07
9125,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Everyman Theatre,Cheltenham,2011-04-07
9126,Gilbert & Sullivan,The Yeomen of the Guard (or The Merryman and his Maid) ,Redgrave Theatre,"Clifton, Bristol",2011-04-07
9127,Gaetano Donizetti,"L'Elisir d'amore, 'Elixir of Love' ",The Carriageworks Theatre,Leeds,2011-04-07
9128,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Everyman Theatre,Cheltenham,2011-04-08
9129,Gilbert & Sullivan,The Yeomen of the Guard (or The Merryman and his Maid) ,Redgrave Theatre,"Clifton, Bristol",2011-04-08
9130,Gaetano Donizetti,"L'Elisir d'amore, 'Elixir of Love' ",The Carriageworks Theatre,Leeds,2011-04-08
9131,Thomas Seltz,Awesome X ,Reid Concert Hall,Edinburgh,2011-04-08
9132,Sir Arthur Sullivan Sir William Schwenck Gilbert,The Yeomen of the Guard (or The Merryman and his Maid) ,Redgrave Theatre,"Clifton, Bristol",2011-04-09
9133,Dietrich Buxtehude,Dido and Aeneas Z626,"St Andrew's Church, Psalter Lane",Sheffield,2011-04-09
9134,Sir Arthur Sullivan Sir William Schwenck Gilbert,The Yeomen of the Guard (or The Merryman and his Maid) ,Redgrave Theatre,"Clifton, Bristol",2011-04-09
9135,Gioachino Rossini,Le Comte Ory ,City Screen,York,2011-04-09
9136,Wolfgang Amadeus Mozart,La Clemenza di Tito ,Everyman Theatre,Cheltenham,2011-04-09
9137,Gaetano Donizetti,"L'Elisir d'amore, 'Elixir of Love' ",The Carriageworks Theatre,Leeds,2011-04-09
9138,Gaetano Donizetti,"L'Elisir d'amore, 'Elixir of Love' ",The Carriageworks Theatre,Leeds,2011-04-10
9139,Antonio Vivaldi,Ombra fedele an'chio ,Purcell Room,London,2011-04-11
9140,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Lyceum Theatre,Sheffield,2011-04-11
9141,Wolfgang Amadeus Mozart,La Clemenza di Tito ,Lyceum Theatre,Sheffield,2011-04-12
9142,Georges Bizet,Carmen ,Leeds Grand Theatre and Opera House,Leeds,2011-04-13
9143,Charles Gounod," 
								Ma quando tornerai, from Alcina HWV34
						",St John's Smith Square,London,2011-04-13
9144,Gaetano Donizetti,"L'Elisir d'amore, 'Elixir of Love' ","The Hall, Haddo House",Tarves,2011-04-13
9145,Ludwig van Beethoven,Fidelio Op 72,Leeds Grand Theatre and Opera House,Leeds,2011-04-14
9146,Georges Bizet,Carmen ,Leeds Grand Theatre and Opera House,Leeds,2011-04-15
9147,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Snape Maltings Concert Hall,Saxmundham (near Aldeburgh),2011-04-15
9148,Gaetano Donizetti,"L'Elisir d'amore, 'Elixir of Love' ","The Hall, Haddo House",Tarves,2011-04-15
9149,Ludwig van Beethoven,Fidelio ,Leeds Grand Theatre and Opera House,Leeds,2011-04-16
9150,Wolfgang Amadeus Mozart,La Clemenza di Tito ,Snape Maltings Concert Hall,Saxmundham (near Aldeburgh),2011-04-16
9151,Gaetano Donizetti,"L'Elisir d'amore, 'Elixir of Love' ","The Hall, Haddo House",Tarves,2011-04-16
9152,Tobias Picker,Fantastic Mr Fox ,Snape Maltings Concert Hall,Saxmundham (near Aldeburgh),2011-04-17
9153,Gilbert & Sullivan,The Mikado (or The Town of Titipu) ,Civic Hall,Stratford-upon-Avon,2011-04-17
9154,Wolfgang Amadeus Mozart,La Clemenza di Tito ,Theatre Royal,Norwich,2011-04-19
9155,Tom Cunningham,The Okavango Macbeth ,Queen's Hall,Edinburgh,2011-04-20
9156,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Theatre Royal,Norwich,2011-04-20
9157,Tobias Picker,Fantastic Mr Fox ,Theatre Royal,Norwich,2011-04-21
9158,Tom Cunningham,The Okavango Macbeth ,Queen's Hall,Edinburgh,2011-04-21
9159,Richard Strauss,Capriccio Op 85,City Screen,York,2011-04-23
9160,Georges Bizet,Carmen ,Leeds Grand Theatre and Opera House,Leeds,2011-04-28
9161,Joe St. Johanser,The Tempest ,The Electric Theatre,Guildford,2011-04-29
9162,Giacomo Puccini," 
								I know that my Redeemer liveth, from Messiah HWV 56
						",Italian Cultural Institute,London,2011-04-29
9163,Giuseppe Verdi,Il Trovatore ,City Screen,York,2011-04-30
9164,Ludwig van Beethoven,Fidelio ,Leeds Grand Theatre and Opera House,Leeds,2011-04-30
9165,Tobias Picker,Fantastic Mr Fox ,The Grand Theatre,Wolverhampton,2011-05-02
9166,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",The Grand Theatre,Wolverhampton,2011-05-03
9167,Gilbert & Sullivan,The Yeomen of the Guard (or The Merryman and his Maid) ,Royal Grammar School Performing Arts Centre,Newcastle upon Tyne,2011-05-04
9168,Giacomo Puccini,Manon Lescaut ,Olympus Theatre,Stoke Gifford,2011-05-04
9169,Pyotr Tchaikovsky," 
								Excerpts, from Eugene Onegin: (Polonaise, Tatiana's Letter Scene, Onegin's Aria from Act I, Scene 3 and Final Duet) 
						",The Bridgewater Hall,Manchester,2011-05-04
9170,Georges Bizet,Carmen ,Leeds Grand Theatre and Opera House,Leeds,2011-05-04
9171,Leoš  Janácek,From the House of the Dead ,Leeds Grand Theatre and Opera House,Leeds,2011-05-05
9172,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Buxton Opera House,Buxton,2011-05-05
9173,Giacomo Puccini,Manon Lescaut ,Olympus Theatre,Stoke Gifford,2011-05-05
9174,Gioachino Rossini,St Paul's Suite Op 29,St Werburgh's Church ,Manchester,2011-05-06
9175,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",Assembly Room,Chichester,2011-05-06
9176,Giacomo Puccini,Manon Lescaut ,Olympus Theatre,Stoke Gifford,2011-05-06
9177,Ludwig van Beethoven,Fidelio ,Leeds Grand Theatre and Opera House,Leeds,2011-05-06
9178,Wolfgang Amadeus Mozart,La Clemenza di Tito ,Buxton Opera House,Buxton,2011-05-06
9179,Leoš  Janácek,From the House of the Dead ,Leeds Grand Theatre and Opera House,Leeds,2011-05-07
9180,Tobias Picker,Fantastic Mr Fox ,Buxton Opera House,Buxton,2011-05-07
9181,Georges Bizet,Carmen ,Leeds Grand Theatre and Opera House,Leeds,2011-05-08
9182,Tobias Picker,Fantastic Mr Fox ,Hall for Cornwall,Truro,2011-05-09
9183,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Hall for Cornwall,Truro,2011-05-10
9184,Wolfgang Amadeus Mozart,La Clemenza di Tito ,Hall for Cornwall,Truro,2011-05-11
9185,Georges Bizet,Carmen ,Leeds Grand Theatre and Opera House,Leeds,2011-05-11
9186,Gioachino Rossini,4 ariette ,St John's Smith Square,London,2011-05-11
9187,Leoš  Janácek,From the House of the Dead ,Leeds Grand Theatre and Opera House,Leeds,2011-05-12
9188,Pyotr Tchaikovsky," 
								Excerpts, from Eugene Onegin 
						",Cadogan Hall,London,2011-05-12
9189,Ludwig van Beethoven,Fidelio ,Leeds Grand Theatre and Opera House,Leeds,2011-05-13
9190,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Lighthouse,Poole,2011-05-13
9191,Leoš  Janácek,From the House of the Dead ,Leeds Grand Theatre and Opera House,Leeds,2011-05-14
9192,Wolfgang Amadeus Mozart,La Clemenza di Tito ,Lighthouse,Poole,2011-05-14
9193,Wolfgang Amadeus Mozart,Neue Liebe ,All Saints Chapel,Eastbourne,2011-05-15
9194,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Gala Theatre,Durham,2011-05-16
9195,Wolfgang Amadeus Mozart,La Clemenza di Tito ,Gala Theatre,Durham,2011-05-17
9196,Georges Bizet,Carmen ,The Lowry,Salford Quays,2011-05-17
9197,Claudio Monteverdi," 
								Excerpts, from L'Orfeo 
						",National Opera Studio,Wandsworth,2011-05-17
9198,Sergey Prokofiev,Eugene Onegin ,Colston Hall,Bristol,2011-05-18
9199,Gilbert & Sullivan,The Sorcerer ,"Deaton Theatre, Forest School",London,2011-05-18
9200,Ludwig van Beethoven,Fidelio ,The Lowry,Salford Quays,2011-05-18
9201,Pyotr Tchaikovsky,Eugene Onegin ,Sevenoaks Playhouse,Sevenoaks,2011-05-18
9202,Leoš  Janácek,From the House of the Dead ,Leeds Grand Theatre and Opera House,Leeds,2011-05-19
9203,Pyotr Tchaikovsky,Eugene Onegin ,Sevenoaks Playhouse,Sevenoaks,2011-05-19
9204,Henry Purcell," 
								Suite, from The Fairy Queen Z629
						","St John's Church, Notting Hill",London,2011-05-19
9205,Kurt Weill,"Die Dreigroschenoper, 'The Threepenny Opera' ",Sir Jack Lyons Theatre,London,2011-05-19
9206,Wolfgang Amadeus Mozart," 
								Overture, from Così fan tutte 
						","Hall One, Kings Place",London,2011-05-20
9207,Georges Bizet,Carmen ,The Lowry,Salford Quays,2011-05-20
9208,Wolfgang Amadeus Mozart,Così fan tutte K588,Wales Millennium Centre,Cardiff,2011-05-20
9209,Ralph Vaughan Williams,If music be the food of love Z379,"St Matthew's Church, Ealing",London,2011-05-20
9210,Kurt Weill,"Die Dreigroschenoper, 'The Threepenny Opera' ",Sir Jack Lyons Theatre,London,2011-05-20
9211,Ludwig van Beethoven,Fidelio ,The Lowry,Salford Quays,2011-05-21
9212,Georges Bizet,Carmen ,Theatre Royal,Nottingham,2011-05-24
9213,Gilbert & Sullivan,Iolanthe (or The Peer and the Peri) ,Harrogate Theatre,Harrogate,2011-05-25
9214,Ludwig van Beethoven,Fidelio ,Theatre Royal,Nottingham,2011-05-25
9215,Tobias Picker,Fantastic Mr Fox ,Grand Opera House,Belfast,2011-05-25
9216,Tobias Picker,Fantastic Mr Fox ,Grand Opera House,Belfast,2011-05-25
9217,Leoš  Janácek,From the House of the Dead ,Theatre Royal,Nottingham,2011-05-26
9218,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Grand Opera House,Belfast,2011-05-26
9219,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Grand Opera House,Belfast,2011-05-27
9220,Georges Bizet,Carmen ,Theatre Royal,Nottingham,2011-05-27
9221,Wolfgang Amadeus Mozart,Così fan tutte ,Wales Millennium Centre,Cardiff,2011-05-27
9222,Ludwig van Beethoven,Fidelio ,Theatre Royal,Nottingham,2011-05-28
9223,Wolfgang Amadeus Mozart,La Clemenza di Tito ,Grand Opera House,Belfast,2011-05-28
9224,Giacomo Puccini,Turandot ,Wales Millennium Centre,Cardiff,2011-05-28
9225,Richard Wagner," 
								Overture, from Light Cavalry 
						",Ferryhill Church,Aberdeen,2011-05-28
9226,Giacomo Puccini,Turandot ,Wales Millennium Centre,Cardiff,2011-05-31
9227,Gian Carlo Menotti,"L'Enfant et les sortilèges, 'Bewitched Child' ","St John's Church, Notting Hill",London,2011-05-31
9228,Giuseppe Verdi,La Traviata ,"Secret Warehouse, Hackney Wick",London,2011-06-01
9229,Gian Carlo Menotti,"L'Enfant et les sortilèges, 'Bewitched Child' ","St John's Church, Notting Hill",London,2011-06-01
9230,Tom Lehrer," 
								Arias, from Die Zauberflöte, 'The Magic Flute' K620
						","St Michael's Church, Belgravia",London,2011-06-01
9231,(Franz) Joseph Haydn,Brandenburg Concerto No 2 in F BWV1047,"St George's Church, Hanover Square",London,2011-06-02
9232,Giuseppe Verdi,Rigoletto ,The Grange,"Northington, Alresford",2011-06-02
9233,Wolfgang Amadeus Mozart,The Magic Flute K620,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-06-02
9234,Wolfgang Amadeus Mozart,Così fan tutte ,Wales Millennium Centre,Cardiff,2011-06-02
9235,Richard Wagner,Tristan und Isolde ,The Grange,"Northington, Alresford",2011-06-03
9236,Leoš  Janácek,From the House of the Dead ,Sage Gateshead,Gateshead,2011-06-03
9237,Gioachino Rossini,Il Turco in Italia (The Turk in Italy) ,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-06-03
9238,Giacomo Puccini,Turandot ,Wales Millennium Centre,Cardiff,2011-06-03
9239,Ludwig van Beethoven,Fidelio ,Sage Gateshead,Gateshead,2011-06-04
9240,Wolfgang Amadeus Mozart,Così fan tutte ,Wales Millennium Centre,Cardiff,2011-06-04
9241,Giacomo Puccini,Turandot ,Wales Millennium Centre,Cardiff,2011-06-05
9242,Giacomo Puccini,Manon Lescaut ,"Queen Elizabeth Hall, Southbank Centre",London,2011-06-05
9243,Gioachino Rossini,Il Turco in Italia (The Turk in Italy) ,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-06-06
9244,Gilbert & Sullivan,The Sorcerer ,Downing Farm,Swaffham Bulbeck ,2011-06-08
9245,Gilbert & Sullivan,The Sorcerer ,Downing Farm,Swaffham Bulbeck ,2011-06-09
9246,Lee Hoiby,This is the rill speaking ,St Peter's Church in Chelsea,New York,2011-06-09
9247,Gilbert & Sullivan,The Sorcerer ,Downing Farm,Swaffham Bulbeck ,2011-06-10
9248,Gilbert & Sullivan,The Sorcerer ,Downing Farm,Swaffham Bulbeck ,2011-06-11
9249,Gilbert & Sullivan,The Sorcerer ,Downing Farm,Swaffham Bulbeck ,2011-06-11
9250,Benjamin Britten,The Rape of Lucretia Op 37,Snape Maltings Concert Hall,Snape,2011-06-11
9251,Gilbert & Sullivan,"The Gondoliers, 'The King of Barataria' ",All Saints' Parish Church,Elland,2011-06-11
9252,Henry Purcell,King Arthur Z628,Holy Trinity ,Long Melford,2011-06-11
9253,Gioachino Rossini,Il Turco in Italia (The Turk in Italy) ,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-06-13
9254,Benjamin Britten,The Rape of Lucretia ,Snape Maltings Concert Hall,Snape,2011-06-13
9255,Giuseppe Verdi,Macbeth ,Harbour Lights Picturehouse Cinema,Southampton,2011-06-13
9256,Antonín Dvorák,Rusalka Op 114,The Grange,"Northington, Alresford",2011-06-15
9257,Gaetano Donizetti,The Elixir of Love ,Wyllyotts Theatre,Potters Bar,2011-06-16
9258,Wolfgang Amadeus Mozart,Così fan tutte K588,Longborough Festival Opera House,Moreton-in-Marsh,2011-06-16
9259,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",St Andrew's Parish Church,Aldborough,2011-06-16
9260,Luke Bedford,Seven Angels ,CBSO Centre,Birmingham,2011-06-17
9261,Gaetano Donizetti,The Elixir of Love ,Wyllyotts Theatre,Potters Bar,2011-06-17
9262,"Wolfgang Amadeus Mozart, arr. Triebensee",Die Entführung aus dem Serail (Excerpts) K 384,"Hall One, Kings Place",London,2011-06-17
9263,John Barry," 
								Overture, from Orphee aux enfers, 'Orpheus in the Underworld' 
						",Heswall Hall,Heswall,2011-06-18
9264,Richard Wagner,"Der Ring des Nibelungen: Part 1, 'Das Rheingold' ",Leeds Town Hall,Leeds,2011-06-18
9265,Engelbert Humperdinck,Hänsel und Gretel ,The Gardens at Iford Manor,Bradford on Avon,2011-06-18
9266,Gaetano Donizetti,The Elixir of Love ,Wyllyotts Theatre,Potters Bar,2011-06-18
9267,Gioachino Rossini,Il Turco in Italia (The Turk in Italy) ,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-06-18
9268,Giuseppe Verdi," 
								Excerpts, from Dido and Aeneas Z626
						",All Saints Church,Bury,2011-06-18
9269,Luke Bedford,Seven Angels ,CBSO Centre,Birmingham,2011-06-18
9270,Antonín Dvorák," 
								O mio babbino caro, from Gianni Schicchi 
						",Preston Guild Hall Foyer,Preston,2011-06-19
9271,Antonio Vivaldi,La verità in cimento ,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-06-20
9272,Engelbert Humperdinck,Hänsel und Gretel ,The Gardens at Iford Manor,Bradford on Avon,2011-06-21
9273,Wolfgang Amadeus Mozart,The Magic Flute ,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-06-21
9274,Engelbert Humperdinck,Hänsel und Gretel ,The Gardens at Iford Manor,Bradford on Avon,2011-06-22
9275,Antonín Dvorák," 
								Casta diva, from Norma 
						",St John's House,Winchester,2011-06-22
9276,Antonio Vivaldi,La verità in cimento ,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-06-23
9277,Wolfgang Amadeus Mozart,La Finta Giardiniera K196,Barbican Hall,London,2011-06-24
9278,Wolfgang Amadeus Mozart,Così fan tutte ,Longborough Festival Opera House,Moreton-in-Marsh,2011-06-24
9279,Richard Wagner,"Der Ring des Nibelungen: Part 1, 'Das Rheingold' ",Symphony Hall,Birmingham,2011-06-24
9280,Engelbert Humperdinck,Hänsel und Gretel ,The Gardens at Iford Manor,Bradford on Avon,2011-06-24
9281,Gioachino Rossini,Il Turco in Italia (The Turk in Italy) ,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-06-24
9282,Wolfgang Amadeus Mozart,Don Giovanni K 527,St George's Bristol,Bristol,2011-06-24
9283,Wolfgang Amadeus Mozart,Così fan tutte ,Longborough Festival Opera House,Moreton-in-Marsh,2011-06-25
9284,Engelbert Humperdinck,Hänsel und Gretel ,The Gardens at Iford Manor,Bradford on Avon,2011-06-25
9285,Antonio Vivaldi,La verità in cimento ,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-06-25
9286,Richard Wagner,"Der Ring des Nibelungen: Part 1, 'Das Rheingold' ",Sage Gateshead,Gateshead,2011-06-26
9287,Engelbert Humperdinck," 
								Excerpts, from Hänsel und Gretel 
						",The Gardens at Iford Manor,Bradford on Avon,2011-06-26
9288,Wolfgang Amadeus Mozart,The Magic Flute ,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-06-27
9289,Wolfgang Amadeus Mozart,Così fan tutte K588,"Britten Theatre, Royal College of Music",London,2011-06-27
9290,Gilbert & Sullivan,Patience (or Bunthorne's Bride) ,The Spring  Arts & Heritage Centre,Havant,2011-06-28
9291,Engelbert Humperdinck,Hänsel und Gretel ,The Gardens at Iford Manor,Bradford on Avon,2011-06-28
9292,Gioachino Rossini,Il Turco in Italia (The Turk in Italy) ,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-06-28
9293,George Frideric Handel," 
								Songs and Dances, from The Fairy Queen Z629
						",The Bridgewater Hall,Manchester,2011-06-29
9294,Gilbert & Sullivan,Patience (or Bunthorne's Bride) ,The Spring  Arts & Heritage Centre,Havant,2011-06-29
9295,Antonio Vivaldi,La verità in cimento ,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-06-29
9296,Wolfgang Amadeus Mozart,Così fan tutte ,"Britten Theatre, Royal College of Music",London,2011-06-29
9297,Gilbert & Sullivan,Patience (or Bunthorne's Bride) ,The Spring  Arts & Heritage Centre,Havant,2011-06-30
9298,Richard Wagner,"Der Ring des Nibelungen: Part 1, 'Das Rheingold' ",Leeds Town Hall,Leeds,2011-07-01
9299,Gilbert & Sullivan,Patience (or Bunthorne's Bride) ,The Spring  Arts & Heritage Centre,Havant,2011-07-01
9300,Antonio Vivaldi,La verità in cimento ,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-07-01
9301,Wolfgang Amadeus Mozart,Così fan tutte ,"Britten Theatre, Royal College of Music",London,2011-07-01
9302,Giuseppe Verdi," 
								Soave  sia il vento, from Così fan tutte K 588
						",St Mary's Church,Woodchester,2011-07-02
9303,Christoph Willibald Gluck,Orfeo ed Euridice (Orpheus and Eurydice) ,The Crypt at The Metropolitan Cathedral of Christ the King,Liverpool,2011-07-02
9304,Gilbert & Sullivan,Patience (or Bunthorne's Bride) ,The Spring  Arts & Heritage Centre,Havant,2011-07-02
9305,Wolfgang Amadeus Mozart,The Magic Flute ,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-07-02
9306, Various,Messa di Gloria in A flat ,Ripon Cathedral,Ripon,2011-07-02
9307,Wolfgang Amadeus Mozart,Così fan tutte ,"Britten Theatre, Royal College of Music",London,2011-07-02
9308,Gaetano Donizetti,Don Pasquale ,St Mary's Church,Pembridge,2011-07-02
9309,Gioachino Rossini,Il Turco in Italia (The Turk in Italy) ,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-07-03
9310,Antonio Vivaldi,La verità in cimento ,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-07-04
9311,Wolfgang Amadeus Mozart,Così fan tutte ,"Britten Theatre, Royal College of Music",London,2011-07-04
9312,Giuseppe Verdi,Falstaff ,Longborough Festival Opera House,Moreton-in-Marsh,2011-07-05
9313,Wolfgang Amadeus Mozart,The Magic Flute ,"Garsington Opera, Wormsley Estate",Stokenchurch,2011-07-05
9314,Wolfgang Amadeus Mozart," 
								Excerpts, from Don Giovanni K 527
						",King's Lynn Corn Exchange,King's Lynn,2011-07-05
9315,Charles Gounod," 
								Selection, from Folk Song Arrangements 
						","Crown Court Church of Scotland, Covent Garden",London,2011-07-06
9316,Gilbert and Sullivan,Patience (or Bunthorne's Bride) ,New Malden Methodist Church,New Malden,2011-07-06
